Molecule,Molecular_Formula,Classification,Tot_atoms,Tot_nH_atoms,IUPAC_Name,SMILES,InChI,InChIKey,Ref_OriDB,Original_DataBase,Mode,ExpFreq_New,CCSD(T)-F12c_Freqs,CCSD(T)-F12c_ScaledFreqs,FreqRange,Region,Symmetry,Mode_Description,Mode_Description_Exp,ModeClass,Statistic,Statistic_Type,Resolution,Journal,Year,BibTex_Code,DOI,Comments
AlCl3,AlCl3,Halogens,4,4,Aluminium chloride,[Al](Cl)(Cl)Cl,InChI=1S/Al.3ClH/h;3*1H/q+3;;;/p-3,VSCWAEJMTAWNJL-UHFFFAOYSA-K,"[07MeMoRa,21UnNaOz]","[1064f/122mol,824f/157mol]",4,151,148.85,146.88518,Low,50 - 700,E',AlCl2 scissor,AlCl2 scissor,non-Stretch,-,-,Low-to-mid,Journal of Raman Spectroscopy,1983,"@article{83ToSjKl,
abstract = {The infrared spectra of aluminium chloride vapour (Al2Cl6 and AlCl3) including Al 235Cl6 and Al 237Cl6 at 473–843 K were measured in the region 700–50 cm_1 with an evacuable Fourier transform spectrometer by transmission and emission techniques. Evacuable cells of nickel were employed having windows of type IIa diamond and sealed with gold O_rings. Raman spectra of Al2Cl6 vapour at ca 500 K and of AlCl3 at 1075 K with pressures from 0.3 to 10 atm were recorded, polarization measurements were carried out and additional spectra of the 35Cl and 37Cl compounds were obtained. The dimer spectra were interpreted in terms of D2h symmetry. All the nine Raman_active and seven of the infrared_active dimer fundamentals were assigned. The IR active mode $\nu$10(B1u), expected below 40 cm_1, and the inactive mode $\nu$5(Au) were left unassigned. The monomer spectra were interpreted in terms of D3h symmetry and all four fundamentals were assigned. A dimer force field, involving 12 independent force constants, was derived. The calculated frequencies were fitted with a least_squares programme to 30 observed fundamentals of Al 235Cl6 and Al 237Cl6 and 14 additional isotopic shifts transferred from previous matrix isolation spectra. A complete force field for the monomer was derived, using the four observed fundamentals and seven isotopic shifts transferred from previously reported matrix isolation spectra. Copyright {\textcopyright} 1983 John Wiley & Sons, Ltd.},
author = {Tomita, T. and Sj{\o}gren, C. E. and Klaeboe, P. and Papatheodorou, G. N. and Rytter, E.},
doi = {10.1002/jrs.1250140611},
issn = {10974555},
journal = {Journal of Raman Spectroscopy},
mendeley-groups = {FREQ_refs},
number = {6},
pages = {415--425},
title = {{High_temperature infrared and Raman spectra of aluminium chloride dimer and monomer in the vapour phase}},
volume = {14},
year = {1983}
}",_10.1002/jrs.1250140611,NA
AlCl3,AlCl3,Halogens,4,4,Aluminium chloride,[Al](Cl)(Cl)Cl,InChI=1S/Al.3ClH/h;3*1H/q+3;;;/p-3,VSCWAEJMTAWNJL-UHFFFAOYSA-K,"[07MeMoRa,21UnNaOz]","[1064f/122mol,824f/157mol]",4,151,148.88,146.914784,Low,50 - 700,E',AlCl2 scissor,AlCl2 scissor,non-Stretch,-,-,Low-to-mid,Journal of Raman Spectroscopy,1983,"@article{83ToSjKl,
abstract = {The infrared spectra of aluminium chloride vapour (Al2Cl6 and AlCl3) including Al 235Cl6 and Al 237Cl6 at 473–843 K were measured in the region 700–50 cm_1 with an evacuable Fourier transform spectrometer by transmission and emission techniques. Evacuable cells of nickel were employed having windows of type IIa diamond and sealed with gold O_rings. Raman spectra of Al2Cl6 vapour at ca 500 K and of AlCl3 at 1075 K with pressures from 0.3 to 10 atm were recorded, polarization measurements were carried out and additional spectra of the 35Cl and 37Cl compounds were obtained. The dimer spectra were interpreted in terms of D2h symmetry. All the nine Raman_active and seven of the infrared_active dimer fundamentals were assigned. The IR active mode $\nu$10(B1u), expected below 40 cm_1, and the inactive mode $\nu$5(Au) were left unassigned. The monomer spectra were interpreted in terms of D3h symmetry and all four fundamentals were assigned. A dimer force field, involving 12 independent force constants, was derived. The calculated frequencies were fitted with a least_squares programme to 30 observed fundamentals of Al 235Cl6 and Al 237Cl6 and 14 additional isotopic shifts transferred from previous matrix isolation spectra. A complete force field for the monomer was derived, using the four observed fundamentals and seven isotopic shifts transferred from previously reported matrix isolation spectra. Copyright {\textcopyright} 1983 John Wiley & Sons, Ltd.},
author = {Tomita, T. and Sj{\o}gren, C. E. and Klaeboe, P. and Papatheodorou, G. N. and Rytter, E.},
doi = {10.1002/jrs.1250140611},
issn = {10974555},
journal = {Journal of Raman Spectroscopy},
mendeley-groups = {FREQ_refs},
number = {6},
pages = {415--425},
title = {{High_temperature infrared and Raman spectra of aluminium chloride dimer and monomer in the vapour phase}},
volume = {14},
year = {1983}
}",_10.1002/jrs.1250140611,NA
AlCl3,AlCl3,Halogens,4,4,Aluminium chloride,[Al](Cl)(Cl)Cl,InChI=1S/Al.3ClH/h;3*1H/q+3;;;/p-3,VSCWAEJMTAWNJL-UHFFFAOYSA-K,"[07MeMoRa,21UnNaOz]","[1064f/122mol,824f/157mol]",2,214,205.11,202.402548,Low,50 - 700,"A""2",AlCl3 bend,AlCl3 bend,non-Stretch,-,-,Low-to-mid,Journal of Raman Spectroscopy,1983,"@article{83ToSjKl,
abstract = {The infrared spectra of aluminium chloride vapour (Al2Cl6 and AlCl3) including Al 235Cl6 and Al 237Cl6 at 473–843 K were measured in the region 700–50 cm_1 with an evacuable Fourier transform spectrometer by transmission and emission techniques. Evacuable cells of nickel were employed having windows of type IIa diamond and sealed with gold O_rings. Raman spectra of Al2Cl6 vapour at ca 500 K and of AlCl3 at 1075 K with pressures from 0.3 to 10 atm were recorded, polarization measurements were carried out and additional spectra of the 35Cl and 37Cl compounds were obtained. The dimer spectra were interpreted in terms of D2h symmetry. All the nine Raman_active and seven of the infrared_active dimer fundamentals were assigned. The IR active mode $\nu$10(B1u), expected below 40 cm_1, and the inactive mode $\nu$5(Au) were left unassigned. The monomer spectra were interpreted in terms of D3h symmetry and all four fundamentals were assigned. A dimer force field, involving 12 independent force constants, was derived. The calculated frequencies were fitted with a least_squares programme to 30 observed fundamentals of Al 235Cl6 and Al 237Cl6 and 14 additional isotopic shifts transferred from previous matrix isolation spectra. A complete force field for the monomer was derived, using the four observed fundamentals and seven isotopic shifts transferred from previously reported matrix isolation spectra. Copyright {\textcopyright} 1983 John Wiley & Sons, Ltd.},
author = {Tomita, T. and Sj{\o}gren, C. E. and Klaeboe, P. and Papatheodorou, G. N. and Rytter, E.},
doi = {10.1002/jrs.1250140611},
issn = {10974555},
journal = {Journal of Raman Spectroscopy},
mendeley-groups = {FREQ_refs},
number = {6},
pages = {415--425},
title = {{High_temperature infrared and Raman spectra of aluminium chloride dimer and monomer in the vapour phase}},
volume = {14},
year = {1983}
}",_10.1002/jrs.1250140611,NA
AlCl3,AlCl3,Halogens,4,4,Aluminium chloride,[Al](Cl)(Cl)Cl,InChI=1S/Al.3ClH/h;3*1H/q+3;;;/p-3,VSCWAEJMTAWNJL-UHFFFAOYSA-K,"[07MeMoRa,21UnNaOz]","[1064f/122mol,824f/157mol]",1,375,394,388.7992,Low,50 - 700,A'1,Al-Cl stretch,Al-Cl sym stretch,Stretch,-,-,Low-to-mid,Journal of Raman Spectroscopy,1983,"@article{83ToSjKl,
abstract = {The infrared spectra of aluminium chloride vapour (Al2Cl6 and AlCl3) including Al 235Cl6 and Al 237Cl6 at 473–843 K were measured in the region 700–50 cm_1 with an evacuable Fourier transform spectrometer by transmission and emission techniques. Evacuable cells of nickel were employed having windows of type IIa diamond and sealed with gold O_rings. Raman spectra of Al2Cl6 vapour at ca 500 K and of AlCl3 at 1075 K with pressures from 0.3 to 10 atm were recorded, polarization measurements were carried out and additional spectra of the 35Cl and 37Cl compounds were obtained. The dimer spectra were interpreted in terms of D2h symmetry. All the nine Raman_active and seven of the infrared_active dimer fundamentals were assigned. The IR active mode $\nu$10(B1u), expected below 40 cm_1, and the inactive mode $\nu$5(Au) were left unassigned. The monomer spectra were interpreted in terms of D3h symmetry and all four fundamentals were assigned. A dimer force field, involving 12 independent force constants, was derived. The calculated frequencies were fitted with a least_squares programme to 30 observed fundamentals of Al 235Cl6 and Al 237Cl6 and 14 additional isotopic shifts transferred from previous matrix isolation spectra. A complete force field for the monomer was derived, using the four observed fundamentals and seven isotopic shifts transferred from previously reported matrix isolation spectra. Copyright {\textcopyright} 1983 John Wiley & Sons, Ltd.},
author = {Tomita, T. and Sj{\o}gren, C. E. and Klaeboe, P. and Papatheodorou, G. N. and Rytter, E.},
doi = {10.1002/jrs.1250140611},
issn = {10974555},
journal = {Journal of Raman Spectroscopy},
mendeley-groups = {FREQ_refs},
number = {6},
pages = {415--425},
title = {{High_temperature infrared and Raman spectra of aluminium chloride dimer and monomer in the vapour phase}},
volume = {14},
year = {1983}
}",_10.1002/jrs.1250140611,NA
AlCl3,AlCl3,Halogens,4,4,Aluminium chloride,[Al](Cl)(Cl)Cl,InChI=1S/Al.3ClH/h;3*1H/q+3;;;/p-3,VSCWAEJMTAWNJL-UHFFFAOYSA-K,"[07MeMoRa,21UnNaOz]","[1064f/122mol,824f/157mol]",3,616,634.81,626.430508,Low,50 - 700,E',Al-Cl stretch,Al-Cl asym stretch,Stretch,-,-,Low-to-mid,Journal of Raman Spectroscopy,1983,"@article{83ToSjKl,
abstract = {The infrared spectra of aluminium chloride vapour (Al2Cl6 and AlCl3) including Al 235Cl6 and Al 237Cl6 at 473–843 K were measured in the region 700–50 cm_1 with an evacuable Fourier transform spectrometer by transmission and emission techniques. Evacuable cells of nickel were employed having windows of type IIa diamond and sealed with gold O_rings. Raman spectra of Al2Cl6 vapour at ca 500 K and of AlCl3 at 1075 K with pressures from 0.3 to 10 atm were recorded, polarization measurements were carried out and additional spectra of the 35Cl and 37Cl compounds were obtained. The dimer spectra were interpreted in terms of D2h symmetry. All the nine Raman_active and seven of the infrared_active dimer fundamentals were assigned. The IR active mode $\nu$10(B1u), expected below 40 cm_1, and the inactive mode $\nu$5(Au) were left unassigned. The monomer spectra were interpreted in terms of D3h symmetry and all four fundamentals were assigned. A dimer force field, involving 12 independent force constants, was derived. The calculated frequencies were fitted with a least_squares programme to 30 observed fundamentals of Al 235Cl6 and Al 237Cl6 and 14 additional isotopic shifts transferred from previous matrix isolation spectra. A complete force field for the monomer was derived, using the four observed fundamentals and seven isotopic shifts transferred from previously reported matrix isolation spectra. Copyright {\textcopyright} 1983 John Wiley & Sons, Ltd.},
author = {Tomita, T. and Sj{\o}gren, C. E. and Klaeboe, P. and Papatheodorou, G. N. and Rytter, E.},
doi = {10.1002/jrs.1250140611},
issn = {10974555},
journal = {Journal of Raman Spectroscopy},
mendeley-groups = {FREQ_refs},
number = {6},
pages = {415--425},
title = {{High_temperature infrared and Raman spectra of aluminium chloride dimer and monomer in the vapour phase}},
volume = {14},
year = {1983}
}",_10.1002/jrs.1250140611,NA
AlCl3,AlCl3,Halogens,4,4,Aluminium chloride,[Al](Cl)(Cl)Cl,InChI=1S/Al.3ClH/h;3*1H/q+3;;;/p-3,VSCWAEJMTAWNJL-UHFFFAOYSA-K,"[07MeMoRa,21UnNaOz]","[1064f/122mol,824f/157mol]",3,616,634.85,626.46998,Low,50 - 700,E',Al-Cl stretch,Al-Cl asym stretch,Stretch,-,-,Low-to-mid,Journal of Raman Spectroscopy,1983,"@article{83ToSjKl,
abstract = {The infrared spectra of aluminium chloride vapour (Al2Cl6 and AlCl3) including Al 235Cl6 and Al 237Cl6 at 473–843 K were measured in the region 700–50 cm_1 with an evacuable Fourier transform spectrometer by transmission and emission techniques. Evacuable cells of nickel were employed having windows of type IIa diamond and sealed with gold O_rings. Raman spectra of Al2Cl6 vapour at ca 500 K and of AlCl3 at 1075 K with pressures from 0.3 to 10 atm were recorded, polarization measurements were carried out and additional spectra of the 35Cl and 37Cl compounds were obtained. The dimer spectra were interpreted in terms of D2h symmetry. All the nine Raman_active and seven of the infrared_active dimer fundamentals were assigned. The IR active mode $\nu$10(B1u), expected below 40 cm_1, and the inactive mode $\nu$5(Au) were left unassigned. The monomer spectra were interpreted in terms of D3h symmetry and all four fundamentals were assigned. A dimer force field, involving 12 independent force constants, was derived. The calculated frequencies were fitted with a least_squares programme to 30 observed fundamentals of Al 235Cl6 and Al 237Cl6 and 14 additional isotopic shifts transferred from previous matrix isolation spectra. A complete force field for the monomer was derived, using the four observed fundamentals and seven isotopic shifts transferred from previously reported matrix isolation spectra. Copyright {\textcopyright} 1983 John Wiley & Sons, Ltd.},
author = {Tomita, T. and Sj{\o}gren, C. E. and Klaeboe, P. and Papatheodorou, G. N. and Rytter, E.},
doi = {10.1002/jrs.1250140611},
issn = {10974555},
journal = {Journal of Raman Spectroscopy},
mendeley-groups = {FREQ_refs},
number = {6},
pages = {415--425},
title = {{High_temperature infrared and Raman spectra of aluminium chloride dimer and monomer in the vapour phase}},
volume = {14},
year = {1983}
}",_10.1002/jrs.1250140611,NA
BH,BH,Others,2,1,$\lambda^{1}$-borane,[BH]  ,InChI=1S/BH/h1H ,UWBOAQKPEXKXSU-UHFFFAOYSA-N  ,[21UnNaOz],[824f/157mol],1,2269.22707,2361.41,2258.452524,High,2200 - 2300,Sigma,B-H stretch,B-H stretch,Stretch,25,One STD,Rovibronic,Journal of Molecular Spectroscopy,1991,"@article{91FeBe,
abstract = {The A1$\Pi$-X1$\Sigma$+ transitions of BH and BD were recorded in emission near 4330 {\AA} by Fourier transform spectroscopy. For BH improved line positions and molecular constants were determined from the analysis of the data. New bands of BD were found in our spectra. {\textcopyright} 1991.},
author = {Fernando, W. T.M.L. and Bernath, P. F.},
doi = {10.1016/0022-2852(91)90126-U},
journal = {Journal of Molecular Spectroscopy},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {feb},
number = {2},
pages = {392--402},
publisher = {Academic Press},
title = {{Fourier transform spectroscopy of the A1$\Pi$-X1$\Sigma$+ transition of BH and BD}},
volume = {145},
year = {1991}
}",_10.1016/0022-2852(91)90126-U,NA
BH3CO,BH3CO,Others,6,3,Borane carbonyl,[BH3-]C#[O+],1S/CO.BH3/c1-2;/h;1H3,SJGVUIMZYFHURU-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],8,313.7,305.59,301.556212,Low,300 - 2500,E,BCO bend,BCO bend,non-Stretch,-,-,Low-to-mid,The Journal of Chemical Physics,1957,"@article{57BeKeBe,
abstract = {The infrared spectra of both solid and gaseous BH3CO, 10BH3CO, BD3CO, and 10BD3CO have been obtained. In addition some observations have been made on the Raman spectra of the gaseous compounds. Fun...},
author = {Bethke, George W and {Kent Wilson}, M and BETHKEt, Orge and {KENT WILSONt}, M},
doi = {10.1063/1.1743481},
issn = {0021-9606},
journal = {The Journal of Chemical Physics},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {oct},
number = {5},
pages = {1118},
publisher = {American Institute of PhysicsAIP},
title = {{Vibrational Spectrum of Borine Carbonyl}},
url = {https://aip.scitation.org/doi/abs/10.1063/1.1743481},
volume = {26},
year = {1957}
}",_10.1063/1.1743481,NA
BH3CO,BH3CO,Others,6,3,Borane carbonyl,[BH3-]C#[O+],1S/CO.BH3/c1-2;/h;1H3,SJGVUIMZYFHURU-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],8,313.7,305.63,301.595684,Low,300 - 2500,E,BCO bend,BCO bend,non-Stretch,-,-,Low-to-mid,The Journal of Chemical Physics,1957,"@article{57BeKeBe,
abstract = {The infrared spectra of both solid and gaseous BH3CO, 10BH3CO, BD3CO, and 10BD3CO have been obtained. In addition some observations have been made on the Raman spectra of the gaseous compounds. Fun...},
author = {Bethke, George W and {Kent Wilson}, M and BETHKEt, Orge and {KENT WILSONt}, M},
doi = {10.1063/1.1743481},
issn = {0021-9606},
journal = {The Journal of Chemical Physics},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {oct},
number = {5},
pages = {1118},
publisher = {American Institute of PhysicsAIP},
title = {{Vibrational Spectrum of Borine Carbonyl}},
url = {https://aip.scitation.org/doi/abs/10.1063/1.1743481},
volume = {26},
year = {1957}
}",_10.1063/1.1743481,NA
BH3CO,BH3CO,Others,6,3,Borane carbonyl,[BH3-]C#[O+],1S/CO.BH3/c1-2;/h;1H3,SJGVUIMZYFHURU-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],4,692.9077,693.97,684.809596,Low,689 - 700,A1,B-C stretch,B-C stretch,Stretch,0.0053,STD,Rovibronic,Journal of Molecular Spectroscopy,1972,"@article{72LaPeCa,
abstract = {The BC stretching vibration, designated as $\nu$4 (in the region of 14.5 $\mu$m) gives rise to a parallel band. This band has been measured with sufficient resolution (0.026-0.034 cm-1) to resolve the subbands corresponding to values of K _ 5. The band origin and the rotational constants were obtained from a complete rotational analysis. The ground state rotational constants B and DJK agree, within experimental error, with those derived from the microwave spectrum. Values of the band origin and the rotational constants, B and DJK, for the first excited vibrational states of $\nu$8 and $\nu$4 + $\nu$8 have been determined from the rotational analysis of the K = 0 subband of the main ""hot"" band $\nu$4 + $\nu$8 - $\nu$8. {\textcopyright} 1972.},
author = {Lambert, L. and P{\'{e}}pin, C. and Cabana, A.},
doi = {10.1016/0022-2852(72)90266-4},
issn = {0022-2852},
journal = {Journal of Molecular Spectroscopy},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {dec},
number = {3},
pages = {578--593},
publisher = {Academic Press},
title = {{High resolution infrared absorption spectrum of borine carbonyl: The analysis of $\nu$4 and $\nu$4 + $\nu$8 _ $\nu$8 of 11BH3CO}},
volume = {44},
year = {1972}
}",_10.1016/0022-2852(72)90266-4,NA
