SMILES;freq1;freq2;freq3;freq4;freq5;freq6
C;1310.761458;1533.332567;2932.369;3018.5292;0;0
C#C;612.82;730.3341;1974.34;3288.58075;3372.82;0
C#CCl;324.444;607.624;750.36;2113.849097;3339.36;0
C#CF;366.639;583.704;1061.445;2239.203;3356.963;0
C#N;711.979;2096.845;3311.476;0;0;0
C(#CCl)Cl;171.525701;333;477;993.024;2234;0
C(#N)C#N;233.88016;502.93192;845.59392;2157.82426;2330.48079;0
C(#N)Cl;381.87706;747.8188;2249.254;0;0;0
C(#N)F;451.32;1076.4921;2318.81483;0;0;0
C(=N)=O;577.347;660;776.623;1322.25;2268.893;3538.249808
C(=O)(Cl)Cl;301.545622;443.172062;572.526299;582.089026;851.012737;1828.202514
C(=O)(F)Cl;408.80986;501.59412;666.58622;764.38763;1095.06458;1875.82556
C(=O)(F)F;581.740637;619.081342;773.999602;963.324817;1243.26609;1944.61403
C(=O)=O;667.37997;1335.131399;2349.142683;0;0;0
C(=O)=S;521;858.97;2062.2;0;0;0
C(=S)(Cl)Cl;297;302;471.04267;503.80679;819.6142;1138.8372
C(=S)(F)F;417;526;622;787;1189;1368
C(=S)=S;395.9881;672.73;1535.35623;0;0;0
C(Cl)(Cl)(Cl)Cl;218;313.6;462.5;793.1;0;0
C(Cl)(Cl)Cl;260.5941146;367.29555;676.64331;775.96139;1220.33803;3032.92642
C(F)(F)(F)F;435.4;631.1;909.1;1283.2;0;0
C(F)(F)F;507.822011;700.09898;1141.4569;1157.3349;1377.847262;3018
C=O;1167.25628;1249.09468;1500.17474;1746.00886;2782.4575;2843.3256
C=S;990.18213;991.02021;1059.20476;1455.49505;2971.0344;3024.6155
CF;1048.610639;1182.674392;1459.39165;1467.81381;2916.643;2998.438
FCl(F)F;328;442;530;702;751;0
FP(F)F;347.086183;487.715684;859.219339;891.940472;0;0
FSSF;182.5;301;319.8;614.6;680.8;717
F[SiH3];729;875;961;991;2206.8;2209.0552
F[SiH](F)F;305.455402;424.030099;843.6;858.25;999.581076;2315.6
N;968.12195;1626.276;3323.71;3443.677;0;0
N#SCl;271.65;414.18;1325.573074;0;0;0
N(=N/F)\F;365.5;423;600;990;1010;1522
N(=O)Cl;331.970996;595.8518;1799.7316;0;0;0
N(=O)F;519.597452;765.355079;1844.098709;0;0;0
N(=O)OCl;370.1510773;410;651.7;792.761264;1267.3;1683.894022
N(=O)[O];749.653;1319.766;1616.849;0;0;0
N(F)(Cl)Cl;344;409;615;692;825;0
N(F)(F)Cl;382;556;697;854;930;0
N(F)(F)F;493.4227759;647.1340617;907.54133;1032.001419;0;0
N(F)F;500;888;1307;1424;3193;0
N=O;1500.818;1565.345;2683.9521;0;0;0
O;1594.74499;3656.65;3755.79;0;0;0
O(Cl)Cl;300;641.9694;686.5936;0;0;0
O(F)F;460.56;828.6876;928.0705;0;0;0
O=S(=O)=O;497.567736;530.086424;1064.924;1391.520242;0;0
O=S(Cl)Cl;194;283.7255996;345.9665893;459.8206678;500.094182;1251
O=S(F)F;376;393;747;808.42224;1334;0
O=S=O;517.87243;1155.71299;1362.060687;0;0;0
O=S=S;380.310367;679.1364116;1166.453885;0;0;0
OCl;724.35807;1238.6246;3609.48013;0;0;0
OF;889.07974;1353.40466;3577.925;0;0;0
O[O];1097.6251;1391.75442;3436.19513;0;0;0
P;992.1349447;1118.306276;2321.124;2326.503;0;0
P(Cl)(Cl)Cl;198;252;482;504;0;0
P12P3P1P23;360.813;466.925;600.51;0;0;0
S;1182.576821;2614.408544;2628.454511;0;0;0
S(Cl)Cl;205;525;528;0;0;0
[Al](Cl)(Cl)Cl;151;214;375;616;0;0
[CH2];1352.59;2806.07;2864.5;963.0995;2992;3373.7
[CH]=O;1080.7618;1868.1704;2434.4779;0;0;0
[N-]=[N+]=O;588.7678643;1284.903334;2223.756743;0;0;0
[O-][O+]=O;700.93111;1042.084054;1103.137321;0;0;0
[SiH2](Cl)Cl;188;527;876;2224;2237;0
[SiH3]Cl;550.929;664.1317;949;2195;2201;0
[SiH4];913.467;974.6;2186.867;2189.1865;0;0
[SiH](Cl)(Cl)Cl;175.5;253.7;498.6;600.1;810.8;2260.9
