SMILES;Molecular_weight;LogP;Number_of_HBA_1;Number_of_HBA_2;Number_of_HBD_1;Number_of_HBD_2;Number_of_acidic_groups;Number_of_aliphatic_OH_groups;Number_of_basic_groups;Fraction_of_rotatable_bonds;Number_of_heavy_bonds;Number_of_heterocycles;Number_of_hydrophobic_groups;MolarRefractivity;Number_of_atoms;Number_of_halogen_atoms;Number_of_B_atoms;Number_of_Br_atoms;Number_of_Cl_atoms;Number_of_I_atoms;Number_of_F_atoms;Number_of_N_atoms;Number_of_O_atoms;Number_of_P_atoms;Number_of_S_atoms;Number_of_bonds;Number_of_NO2_groups;Number_of_SO_groups;Number_of_OSO_groups;Number_of_SO2_groups;PolarSurfaceArea;Geometrical_diameter;Geometrical_radius;Geometrical_shape_coefficient;Kier_shape_1;Kier_shape_2;Zagreb_group_index_1;Zagreb_group_index_2;abonds;atoms;bonds;dbonds;HBA1;HBA2;HBD;logP;MR;MW;nF;sbonds;tbonds;TPSA;MF;MW;Ncharges;C;Cl;F;N;O;S;P;H;Si;Al;RNH2;R2NH;R3N;ROPO3;ROH;RCHO;RCOR;RCOOH;RCOOR;ROR;RCCH;RCN;RINGS;AROMATIC;freq6
C#C;26.03799939;0.4954;2;0;0;0;0;0;0;0;1;0;0;12.004;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3.331800103;1.065700054;2.126395734;2;0;8;4;0;4;3;0;2;0;0;0.2494;9.89;26.03728;0;2;1;0;C2;24.0214;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C#CCl;60.48299849;0.9389;1;0;0;0;0;0;0;0;2;0;0;15.743;4;1;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;4.01760006;1.064599931;2.77381206;3;2;9;6;0;4;3;0;1;0;0;0.8159;14.686;60.48234;0;2;1;0;C2Cl;59.4744;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C#CF;44.02799857;0.6696;1;0;0;0;0;0;0;0;2;0;0;10.998;4;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;3.601699948;1.064499974;2.383466449;3;2;9;6;0;4;3;0;1;0;0;0.5466;9.941;44.0277432;1;2;1;0;C2F;43.0198032;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C#N;27.02599967;0.26278;2;1;0;0;0;0;0;0;1;0;0;7.727;3;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;23.79;2.224999949;1.064999938;1.089201952;2;0;5;2;0;3;2;0;2;1;0;0.13978;6.67;27.02534;0;1;1;23.79;CN;26.0174;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C(#CCl)Cl;94.92799759;1.3824;0;0;0;0;0;0;0;0;3;0;0;19.482;4;2;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;4.707699895;1.199899994;2.923410217;4;3;10;8;0;4;3;0;0;0;0;1.3824;19.482;94.9274;0;2;1;0;C2Cl2;94.9274;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
C(#N)C#N;52.0359993;0.03356;2;2;0;0;0;0;0;0;3;0;0;11.226;4;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;47.58;3.866500109;1.162100077;2.327166211;4;3;10;8;0;4;3;0;2;2;0;0.03356;11.226;52.0348;0;1;2;47.58;C2N2;52.0348;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
C(#N)Cl;61.47099876;0.70628;1;1;0;0;0;0;0;0;2;0;0;11.466;3;1;0;0;1;0;0;1;0;0;0;2;0;0;0;0;23.79;2.914000005;1.160000056;1.512068848;3;2;6;4;0;3;2;0;1;1;0;0.70628;11.466;61.4704;0;1;1;23.79;CClN;61.4704;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
C(#N)F;45.01599884;0.43698;1;1;0;0;0;0;0;0;2;0;0;6.721;3;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;23.79;2.497799933;1.160000026;1.153275756;3;2;6;4;0;3;2;0;1;1;0;0.43698;6.721;45.0158032;1;1;1;23.79;CFN;45.0158032;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
C(=N)=O;43.02499926;0.2149;3;2;1;1;0;0;0;0;2;0;0;10.0469;4;0;0;0;0;0;0;1;1;0;0;3;0;0;0;0;40.92;2.863493089;1.02272422;1.799868267;3;2;9;6;0;4;3;2;3;2;1;0.0007;9.0842;43.02474;0;1;0;40.92;CNO;42.0168;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3538.249808
C(=O)(Cl)Cl;98.91599751;1.584;1;1;0;0;0;0;0;0;3;0;0;17.102;4;2;0;0;2;0;0;0;1;0;0;3;0;0;0;0;17.07;2.884791757;1.22660836;1.3518442;4;1.333333333;12;9;0;4;3;1;1;1;0;1.584;17.102;98.9161;0;2;0;17.07;CCl2O;98.9161;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1828.202514
C(=O)(F)Cl;82.46099758;1.3147;1;1;0;0;0;0;0;0;3;0;0;12.357;4;2;0;0;1;0;1;0;1;0;0;3;0;0;0;0;17.07;2.659181428;1.223204663;1.173946445;4;1.333333333;12;9;0;4;3;1;1;1;0;1.3147;12.357;82.4615032;1;2;0;17.07;CClFO;82.4615032;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1875.82556
C(=O)(F)F;66.00599766;1.0454;1;1;0;0;0;0;0;0;3;0;0;7.612;4;2;0;0;0;0;2;0;1;0;0;3;0;0;0;0;17.07;2.316781236;1.219919388;0.899126499;4;1.333333333;12;9;0;4;3;1;1;1;0;1.0454;7.612;66.0069064;2;2;0;17.07;CF2O;66.0069064;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1944.61403
C(=O)=O;44.00899887;-0.5835;2;2;0;0;0;0;0;0;2;0;0;5.007;3;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;34.14;2.393999994;1.196999967;1.00000005;3;2;6;4;0;3;2;2;2;2;0;-0.5835;5.007;44.0095;0;0;0;34.14;CO2;44.0095;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
C(=O)=S;60.07700062;0.2511;2;2;0;0;0;0;0;0;2;0;0;13.2845;3;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;49.16;2.766300008;1.176000044;1.352295837;3;2;6;4;0;3;2;2;2;2;0;0.2511;13.2845;60.0751;0;0;0;49.16;COS;60.0751;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
C(=S)(Cl)Cl;114.9839993;1.7489;1;1;0;0;0;0;0;0;3;0;0;24.304;4;2;0;0;2;0;0;0;0;0;1;3;0;0;0;0;32.09;2.949902799;1.655623305;0.78174757;4;1.333333333;12;9;0;4;3;1;1;1;0;1.7489;24.304;114.9817;0;2;0;32.09;CCl2S;114.9817;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1138.8372
C(=S)(F)F;82.0739994;1.2103;1;1;0;0;0;0;0;0;3;0;0;14.814;4;2;0;0;0;0;2;0;0;0;1;3;0;0;0;0;32.09;2.597289542;1.335807691;0.944358877;4;1.333333333;12;9;0;4;3;1;1;1;0;1.2103;14.814;82.0725064;2;2;0;32.09;CF2S;82.0725064;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1368
C(=S)=S;76.14500237;1.0181;2;2;0;0;0;0;0;0;2;0;0;20.189;3;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;64.18;3.180700123;1.590300024;1.000062929;3;2;6;4;0;3;2;2;2;2;0;1.0181;20.189;76.1407;0;0;0;64.18;CS2;76.1407;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C(Cl)(Cl)(Cl)Cl;153.8229961;2.5529;0;0;0;0;0;0;0;0;4;0;0;26.143;5;4;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;2.909628799;1.781662305;0.633097805;5;1;20;16;0;5;4;0;0;0;0;2.5529;26.143;153.8227;0;4;0;0;CCl4;153.8227;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C(Cl)(Cl)Cl;119.377997;2.5293;1;0;0;0;0;0;0;0;3;0;0;22.366;5;3;0;0;3;0;0;0;0;0;0;4;0;0;0;0;0;2.912761698;1.093100011;1.664679963;4;1.333333333;19;12;0;5;4;0;1;0;0;1.9864;21.309;119.37764;0;4;0;0;CCl3;118.3697;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3032.92642
C(F)(F)(F)F;88.00299644;1.4757;0;0;0;0;0;0;0;0;4;0;0;7.163;5;4;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;2.194018383;1.343500018;0.63306167;5;1;20;16;0;5;4;0;0;0;0;1.4757;7.163;88.0043128;4;4;0;0;CF4;88.0043128;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C(F)(F)F;70.01299727;1.7214;1;0;0;0;0;0;0;0;3;0;0;8.131;5;3;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;2.183045883;1.092900038;0.997479923;4;1.333333333;19;12;0;5;4;0;1;0;0;1.1785;7.074;70.0138496;3;4;0;0;CF3;69.0059096;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3018
C=O;30.02599931;0.697;3;1;0;0;0;0;0;0;1;0;0;9.624;4;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;17.07;2.037843898;1.101737154;0.849664315;2;0;10;3;0;4;3;1;3;1;0;0.451;7.51;30.02598;0;2;0;17.07;CO;28.0101;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2843.3256
C=S;46.09400105;0.8619;3;1;0;0;0;0;0;0;1;0;0;16.826;4;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;32.09;2.445173972;1.102125569;1.218598352;2;0;10;3;0;4;3;1;3;1;0;0.6159;14.712;46.09158;0;2;0;32.09;CS;44.0757;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3024.6155
