cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
mol1,1.6042999744415283E1,1.1987999999999999,4,0,0,0,0,0,0,0.0,0,0,0,1.1149E1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.0,1.783601342113374,1.092176253754362,6.330709773099666E-1,0.0,0.0,1.6E1,0.0
mol2,2.6037999391555786E1,4.954E-1,2,0,0,0,0,0,0,0.0,1,0,0,1.2004000000000001E1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,3.331800103187561,1.0657000541687012,2.1263957341041237,2.0,0.0,8.0,4.0
mol3,6.048299849033356E1,9.389000000000001E-1,1,0,0,0,0,0,0,0.0,2,0,0,1.5743E1,4,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0.0,4.017600059509277,1.0645999312400818,2.773812059925123,3.0,2.0,9.0,6.0
mol4,4.40279985666275E1,6.696E-1,1,0,0,0,0,0,0,0.0,2,0,0,1.0998000000000001E1,4,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0.0,3.601699948310852,1.0644999742507935,2.3834664494433335,3.0,2.0,9.0,6.0
mol5,2.7025999665260315E1,2.6278E-1,2,1,0,0,0,0,0,0.0,1,0,0,7.727,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2.379E1,2.224999949336052,1.0649999380111694,1.0892019519654814,2.0,0.0,5.0,2.0
mol6,9.492799758911133E1,1.3824,0,0,0,0,0,0,0,0.0,3,0,0,1.9482E1,4,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0.0,4.70769989490509,1.1998999938368797,2.9234102167560123,4.0,3.0,1.0E1,8.0
mol7,5.20359992980957E1,3.356E-2,2,2,0,0,0,0,0,0.0,3,0,0,1.1225999999999999E1,4,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,4.758E1,3.866500109434128,1.162100076675415,2.327166211446758,4.0,3.0,1.0E1,8.0
mol8,6.1470998764038086E1,7.0628E-1,1,1,0,0,0,0,0,0.0,2,0,0,1.1466E1,3,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2.379E1,2.914000004529953,1.160000056028366,1.512068848088655,3.0,2.0,6.0,4.0
mol9,4.501599884033203E1,4.3698000000000004E-1,1,1,0,0,0,0,0,0.0,2,0,0,6.721,3,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2.379E1,2.4977999329566956,1.1600000262260437,1.1532757555903375,3.0,2.0,6.0,4.0
mol10,4.3024999260902405E1,2.1489999999999998E-1,3,2,1,1,0,0,0,0.0,2,0,0,1.00469E1,4,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,4.092E1,2.863493089342897,1.022724219908928,1.799868267124726,3.0,2.0,9.0,6.0
