cid,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
mol1,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.6361,6.920999999999999,16.04246,0.0,4.0,0.0,0.0
mol2,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0.24939999999999998,9.89,26.037280000000003,0.0,2.0,1.0,0.0
mol3,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.8159,14.686,60.48234,0.0,2.0,1.0,0.0
mol4,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.5466,9.941,44.027743199999996,1.0,2.0,1.0,0.0
mol5,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.13978,6.67,27.025340000000003,0.0,1.0,1.0,23.79
mol6,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.3824,19.482,94.9274,0.0,2.0,1.0,0.0
mol7,0.0,4.0,3.0,0.0,2.0,2.0,0.0,0.03356,11.225999999999999,52.034800000000004,0.0,1.0,2.0,47.58
mol8,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.70628,11.466,61.470400000000005,0.0,1.0,1.0,23.79
mol9,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.43698000000000004,6.721,45.0158032,1.0,1.0,1.0,23.79
mol10,0.0,4.0,3.0,2.0,3.0,2.0,1.0,0.00070000000000002,9.084200000000001,43.02474,0.0,1.0,0.0,40.92
mol11,0.0,4.0,3.0,1.0,1.0,1.0,0.0,1.584,17.101999999999997,98.9161,0.0,2.0,0.0,17.07
mol12,0.0,4.0,3.0,1.0,1.0,1.0,0.0,1.3147,12.357,82.46150320000001,1.0,2.0,0.0,17.07
mol13,0.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0453999999999999,7.612,66.00690639999999,2.0,2.0,0.0,17.07
mol14,0.0,3.0,2.0,2.0,2.0,2.0,0.0,-0.5835,5.007,44.0095,0.0,0.0,0.0,34.14
mol15,0.0,3.0,2.0,2.0,2.0,2.0,0.0,0.2511,13.2845,60.0751,0.0,0.0,0.0,49.160000000000004
mol16,0.0,4.0,3.0,1.0,1.0,1.0,0.0,1.7489000000000001,24.304000000000002,114.9817,0.0,2.0,0.0,32.09
mol17,0.0,4.0,3.0,1.0,1.0,1.0,0.0,1.2103000000000002,14.814,82.0725064,2.0,2.0,0.0,32.09
mol18,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0181,20.189,76.1407,0.0,0.0,0.0,64.18
mol19,0.0,5.0,4.0,0.0,0.0,0.0,0.0,2.5529,26.143,153.8227,0.0,4.0,0.0,0.0
mol20,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.9864,21.308999999999997,119.37764000000001,0.0,4.0,0.0,0.0
mol21,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.4756999999999998,7.163,88.0043128,4.0,4.0,0.0,0.0
mol22,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.1785,7.074000000000002,70.0138496,3.0,4.0,0.0,0.0
mol23,0.0,4.0,3.0,1.0,3.0,1.0,0.0,0.451,7.51,30.025980000000004,0.0,2.0,0.0,17.07
mol24,0.0,4.0,3.0,1.0,3.0,1.0,0.0,0.6159,14.712,46.09157999999999,0.0,2.0,0.0,32.09
mol25,0.0,5.0,4.0,0.0,3.0,0.0,0.0,0.5857,6.9719999999999995,34.03292319999999,1.0,4.0,0.0,0.0
mol26,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.9501,9.177000000000001,92.4482096,3.0,3.0,0.0,0.0
mol27,0.0,4.0,3.0,0.0,1.0,0.0,0.0,2.1218,10.244000000000002,87.96897059999999,3.0,3.0,0.0,13.59
